,Date,Original_Tweet,Clean_Tweet,Sentiment
916,2020-06-14,Steve Case and Clara Sieg on how the COVID-19 crisis differs from the dot-com bust https://t.co/ECRO7LV9Jl #ECL… https://t.co/sVPDeNqM2C,steve case clara sieg covid19 crisi differ dot com bust,0.2975445534947083
917,2020-06-14,RT @susanferrechio: Fairfax County Health Department responded to my request for nursing home/longterm care facility deaths from COVID-19.…,fairfax counti health depart respond request nurs home longterm care facil death covid19,0.7065946893067633
918,2020-06-14,@Instacart so mad my shopper got me two things I didn’t ask for and wouldn’t respond to my messages about me NOT wa… https://t.co/4Isfqai9Wj,mad shopper got two thing ask respond messag wa,0.26803045000417386
919,2020-06-14,"RT @brooklynrwhite: These women have raised over half a million dollars for those hit the hardest by COVID-19, meanwhile Lana Del Rey is on…",woman rais half million dollar hit hardest covid19 meanwhil lana del rey,0.7666007975606299
920,2020-06-15,RT @CGIARclimate: What lessons learned from the #COVID19 pandemic can be applied in the context of climate change? Join the online discussi…,lesson learn pandem appli context climat chang join onlin discussi,0.7749016194441907
921,2020-06-15,RT @realNeoM: “It is clear from statements made by the president that a body called the NCCC has taken critical decisions in respect of our…,clear statement made presid bodi call nccc taken critic decis respect,0.17907960042166163
922,2020-06-15,"RT @livemint: Serum Institute, the world's largest manufacturer of vaccines by volume, is working on several candidates for the novel coron…",serum institut world largest manufactur vaccin volum work sever candid novel coron,0.2847656498022413
923,2020-06-15,"168 Truck Drivers Denied Entry So Far, #Uganda’s Covid-19 Tally Stands at 175 https://t.co/XmhXchtYZa #COVID19UG… https://t.co/2aT01sHVWv",truck driver deni entri far covid19 talli stand,0.2644611323808682
924,2020-06-15,"RT @BillGates: Most of my conversations these days are about COVID-19 and how we can stem the tide, but I’m also often asked about what I a…",convers day covid19 stem tide also often ask,0.7520408374360219
925,2020-06-15,"RT @AnnCoulter: ""the chance of dying is ... about 0.45 percent – very far from the World Health Organization’s [global mortality] figure of…",chanc die percent far world health organ global mortal figur,0.7215919306738113
