Word,Popularity,Probability
hold,10,0.0006356874960269531
gov,10,0.0006356874960269531
advic,10,0.0006356874960269531
find,10,0.0006356874960269531
fact,10,0.0006356874960269531
intern,10,0.0006356874960269531
administr,10,0.0006356874960269531
hear,10,0.0006356874960269531
ralli,10,0.0006356874960269531
leader,9,0.0005721187464242578
base,9,0.0005721187464242578
york,9,0.0005721187464242578
drug,9,0.0005721187464242578
told,9,0.0005721187464242578
step,9,0.0005721187464242578
le,9,0.0005721187464242578
effort,9,0.0005721187464242578
design,9,0.0005721187464242578
centr,9,0.0005721187464242578
ever,9,0.0005721187464242578
meet,9,0.0005721187464242578
clear,9,0.0005721187464242578
articl,9,0.0005721187464242578
happen,9,0.0005721187464242578
decis,9,0.0005721187464242578
order,9,0.0005721187464242578
migrant,9,0.0005721187464242578
bad,9,0.0005721187464242578
chief,9,0.0005721187464242578
top,9,0.0005721187464242578
prison,9,0.0005721187464242578
univers,9,0.0005721187464242578
democrat,9,0.0005721187464242578
treat,9,0.0005721187464242578
chines,9,0.0005721187464242578
send,9,0.0005721187464242578
emerg,9,0.0005721187464242578
local,9,0.0005721187464242578
gener,9,0.0005721187464242578
miss,9,0.0005721187464242578
thousand,9,0.0005721187464242578
bring,9,0.0005721187464242578
nh,9,0.0005721187464242578
onlin,9,0.0005721187464242578
differ,9,0.0005721187464242578
toll,9,0.0005721187464242578
enough,9,0.0005721187464242578
handl,9,0.0005721187464242578
rule,9,0.0005721187464242578
concern,9,0.0005721187464242578
result,9,0.0005721187464242578
travel,9,0.0005721187464242578
dear,9,0.0005721187464242578
arrest,9,0.0005721187464242578
check,9,0.0005721187464242578
app,9,0.0005721187464242578
bill,9,0.0005721187464242578
eert,9,0.0005721187464242578
becom,9,0.0005721187464242578
interest,8,0.0005085499968215625
track,8,0.0005085499968215625
cut,8,0.0005085499968215625
sector,8,0.0005085499968215625
produc,8,0.0005085499968215625
resourc,8,0.0005085499968215625
kit,8,0.0005085499968215625
hope,8,0.0005085499968215625
creat,8,0.0005085499968215625
mother,8,0.0005085499968215625
decid,8,0.0005085499968215625
author,8,0.0005085499968215625
someon,8,0.0005085499968215625
listen,8,0.0005085499968215625
video,8,0.0005085499968215625
billion,8,0.0005085499968215625
organ,8,0.0005085499968215625
hydroxychloroquin,8,0.0005085499968215625
antibodi,8,0.0005085499968215625
money,8,0.0005085499968215625
guidelin,8,0.0005085499968215625
secret,8,0.0005085499968215625
wors,8,0.0005085499968215625
project,8,0.0005085499968215625
suffer,8,0.0005085499968215625
reveal,8,0.0005085499968215625
plasma,8,0.0005085499968215625
pass,8,0.0005085499968215625
feel,8,0.0005085499968215625
secur,8,0.0005085499968215625
other,8,0.0005085499968215625
ca,8,0.0005085499968215625
evid,8,0.0005085499968215625
recoveri,8,0.0005085499968215625
eerienc,8,0.0005085499968215625
corona,8,0.0005085499968215625
least,8,0.0005085499968215625
critic,8,0.0005085499968215625
done,8,0.0005085499968215625
bank,8,0.0005085499968215625
problem,8,0.0005085499968215625
tweet,8,0.0005085499968215625
chariti,8,0.0005085499968215625
industri,8,0.0005085499968215625
full,8,0.0005085499968215625
ignor,8,0.0005085499968215625
action,8,0.0005085499968215625
suppli,8,0.0005085499968215625
review,8,0.0005085499968215625
assist,8,0.0005085499968215625
driver,8,0.0005085499968215625
nan,8,0.0005085499968215625
polici,8,0.0005085499968215625
singl,8,0.0005085499968215625
leadership,8,0.0005085499968215625
involv,8,0.0005085499968215625
suggest,8,0.0005085499968215625
discharg,7,0.00044498124721886723
surviv,7,0.00044498124721886723
receiv,7,0.00044498124721886723
control,7,0.00044498124721886723
deliv,7,0.00044498124721886723
attack,7,0.00044498124721886723
simpl,7,0.00044498124721886723
british,7,0.00044498124721886723
dead,7,0.00044498124721886723
link,7,0.00044498124721886723
far,7,0.00044498124721886723
delhi,7,0.00044498124721886723
discu,7,0.00044498124721886723
ppe,7,0.00044498124721886723
realiti,7,0.00044498124721886723
wish,7,0.00044498124721886723
activ,7,0.00044498124721886723
feder,7,0.00044498124721886723
actual,7,0.00044498124721886723
self,7,0.00044498124721886723
readi,7,0.00044498124721886723
reason,7,0.00044498124721886723
short,7,0.00044498124721886723
four,7,0.00044498124721886723
pa,7,0.00044498124721886723
claim,7,0.00044498124721886723
